taxon_ID,taxon_name,taxon_author,taxon_lvl,lft,rgt
472,Aquifoliaceae,Bercht. & J.Presl,family,11033,11044
473,Rousseaceae,DC.,family,11021,11030
474,Campanulaceae,Juss.,family,10797,11020
475,Pentaphragmataceae,J.Agardh,family,10793,10796
476,Stylidiaceae,R.Br.,family,10779,10792
477,Alseuosmiaceae,Airy Shaw,family,10769,10778
478,Phellinaceae,Takht.,family,10765,10768
479,Argophyllaceae,Takht.,family,10759,10764
480,Menyanthaceae,Dumort.,family,10741,10758
481,Goodeniaceae,R.Br.,family,10703,10740
482,Calyceraceae,R.Br. ex Rich.,family,10689,10702
483,Asteraceae,Bercht. & J.Presl,family,6497,10688
484,Escalloniaceae,R.Br. ex Dumort.,family,6477,6494
485,Columelliaceae,D.Don,family,6469,6474
486,Bruniaceae,R.Br. ex DC.,family,6445,6468
487,Paracryphiaceae,Airy Shaw,family,6435,6442
488,Adoxaceae,E.Mey.,family,6421,6432
489,Caprifoliaceae,Juss.,family,6299,6420
490,Pennantiaceae,J.Agardh,family,6293,6296
491,Torricelliaceae,Hu,family,6285,6292
492,Griseliniaceae,Takht.,family,6281,6284
493,Pittosporaceae,R.Br.,family,6253,6280
494,Araliaceae,Juss.,family,6137,6252
495,Myodocarpaceae,Doweld,family,6131,6136
496,Apiaceae,Lindl.,family,4981,6130
497,Cycadales,Berchtold & J. Presl,order,38401,38426
498,Ginkgoales,Gorozh.,order,38395,38400
499,Pinales,Gorozh.,order,38221,38394
500,Gnetales,Blume,order,38207,38220
501,Cycadaceae,Persoon,family,38422,38425
502,Zamiaceae,Horaninow,family,38402,38421
503,Ginkgoaceae,Engler,family,38396,38399
504,Pinaceae,F. Rudolphi,family,38370,38393
505,Araucariaceae,Henkel & W. Hochst.,family,38358,38369
506,Podocarpaceae,Endlicher,family,38312,38357
507,Sciadopityaceae,Luersson,family,38308,38311
508,Taxaceae,Berchtold & J. Presl,family,38294,38307
509,Cupressaceae,Bartling,family,38222,38293
510,Ephedraceae,Dumortier,family,38216,38219
511,Gnetaceae,Blume,family,38212,38215
512,Welwitschiaceae,Caruel,family,38208,38211
513,Lycopodiophyta,,level_4,1428,1491
514,Monilophyta,,level_4,4,1427
515,Equisetopsida,,other,1381,1426
516,Marattiopsida,,other,1355,1380
517,Polypodiopsida,,other,5,1354
518,Lycopodiales,Berchtold & J. Presl,order,1429,1490
519,Ophioglossales,Link,order,1400,1425
520,Psilotales,Prantl,order,1392,1399
521,Equisetales,Berchtold & Presl,order,1382,1391
522,Marattiales,Link,order,1356,1379
523,Osmundales,Link,order,1338,1353
524,Hymenophyllales,A. B. Frank,order,1252,1337
525,Gleicheniales,Schimper,order,1220,1251
526,Schizaeales,Schimper,order,1190,1219
527,Salviniales,Bartling,order,1170,1189
528,Cyatheales,A. B. Frank,order,1098,1169
529,Polypodiales,Link,order,6,1097
530,Lycopodiaceae,Mirbel,family,1452,1489
531,Selaginellaceae,Willkommen,family,1440,1451
532,Isoetaceae,Reichenbach,family,1430,1439
533,Ophioglossaceae,Martinov,family,1401,1424
534,Psilotaceae,J. W. Griffith & Henfrey,family,1393,1398
535,Equisetaceae,de Candolle,family,1383,1390
