citavi_ID,dataset,layer_name,layer,description,unit,coord_system,resolution,extent,version
{Brown 2018 #3836},PaleoClim 1.0,PaleoClim_M2_v1_2_5m_bio_15,Precipitation Seasonality in Marine Isotope State M2 (~3.3 Ma),Coefficient of variation,,WGS84,2.5 arc-minutes,global,1.0
{Brown 2018 #3836},PaleoClim 1.0,PaleoClim_M2_v1_2_5m_bio_4,Temperature Seasonality in Marine Isotope State M2 (~3.3 Ma),standard deviation * 100,°C,WGS84,2.5 arc-minutes,global,1.0
{Brown 2018 #3836},PaleoClim 1.0,PaleoClim_MIS19_v1_2_5m_bio_1,Annual Mean Temperature in Marine Isotope Stage 19 (~785 ka),°C * 10,°C,WGS84,2.5 arc-minutes,global,1.0
{Brown 2018 #3836},PaleoClim 1.0,PaleoClim_MIS19_v1_2_5m_bio_12,Annual Precipitation in Marine Isotope Stage 19 (~785 ka),,mm,WGS84,2.5 arc-minutes,global,1.0
{Brown 2018 #3836},PaleoClim 1.0,PaleoClim_MIS19_v1_2_5m_bio_15,Precipitation Seasonality in Marine Isotope Stage 19 (~785 ka),Coefficient of variation,,WGS84,2.5 arc-minutes,global,1.0
{Brown 2018 #3836},PaleoClim 1.0,PaleoClim_MIS19_v1_2_5m_bio_4,Temperature Seasonality in Marine Isotope Stage 19 (~785 ka),standard deviation * 100,°C,WGS84,2.5 arc-minutes,global,1.0
{Brown 2018 #3836},PaleoClim 1.0,PaleoClim_mPWP_v1_2_5m_bio_1,Annual Mean Temperature in mid Pliocene Warm Period (~3.264-3.025 Ma),°C * 10,°C,WGS84,2.5 arc-minutes,global,1.0
{Brown 2018 #3836},PaleoClim 1.0,PaleoClim_mPWP_v1_2_5m_bio_12,Annual Precipitation in mid Pliocene Warm Period (~3.264-3.025 Ma),,mm,WGS84,2.5 arc-minutes,global,1.0
{Brown 2018 #3836},PaleoClim 1.0,PaleoClim_mPWP_v1_2_5m_bio_15,Precipitation Seasonality in mid Pliocene Warm Period (~3.264-3.025 Ma),Coefficient of variation,,WGS84,2.5 arc-minutes,global,1.0
{Brown 2018 #3836},PaleoClim 1.0,PaleoClim_mPWP_v1_2_5m_bio_4,Temperature Seasonality in mid Pliocene Warm Period (~3.264-3.025 Ma),standard deviation * 100,°C,WGS84,2.5 arc-minutes,global,1.0
{Karger 2021 #3839},CHELSA-TraCE21k,CHELSA_TraCE21k_bio01_-200_V1.0,Annual Mean Temperature at 22k BP (-20100 to -200001),,°C,WGS84,30 arc-seconds,global,1.0
{Karger 2021 #3839},CHELSA-TraCE21k,CHELSA_TraCE21k_bio03_-200_V1.0,Isothermality at 22k BP (-20100 to -200001),(BIO2/BIO7),°C,WGS84,30 arc-seconds,global,1.0
{Karger 2021 #3839},CHELSA-TraCE21k,CHELSA_TraCE21k_bio04_-200_V1.0,Temperature Seasonality at 22k BP (-20100 to -200001),standard deviation,,WGS84,30 arc-seconds,global,1.0
{Karger 2021 #3839},CHELSA-TraCE21k,CHELSA_TraCE21k_bio07_-200_V1.0,Temperature Annual Range at 22k BP (-20100 to -200001),BIO5-BIO6,°C,WGS84,30 arc-seconds,global,1.0
{Karger 2021 #3839},CHELSA-TraCE21k,CHELSA_TraCE21k_bio12_-200_V1.0,Annual Precipitation at 22k BP (-20100 to -200001),,mm,WGS84,30 arc-seconds,global,1.0
{Karger 2021 #3839},CHELSA-TraCE21k,CHELSA_TraCE21k_bio15_-200_V1.0,Precipitation Seasonality at 22k BP (-20100 to -200001),Coefficient of variation,,WGS84,30 arc-seconds,global,1.0
{Karger 2017 #3511},Chelsa 2.1 bioclimatic variables 1981-2010,CHELSA_bio1_1981-2010_V.2.1,Mean annual air temperature,Mean annual daily mean air temperatures averaged over 1 year,°C,WGS84,30 arc-seconds,global,2.1
{Karger 2017 #3511},Chelsa 2.1 bioclimatic variables 1981-2010,CHELSA_bio10_1981-2010_V.2.1,Mean daily mean air temperatures of the warmest quarter,The warmest quarter of the year is determined (to the nearest month),°C,WGS84,30 arc-seconds,global,2.1
{Karger 2017 #3511},Chelsa 2.1 bioclimatic variables 1981-2010,CHELSA_bio11_1981-2010_V.2.1,Mean daily mean air temperatures of the coldest quarter,The coldest quarter of the year is determined (to the nearest month),°C,WGS84,30 arc-seconds,global,2.1
{Karger 2017 #3511},Chelsa 2.1 bioclimatic variables 1981-2010,CHELSA_bio12_1981-2010_V.2.1,Annual precipitation amount,Accumulated precipitation amount over 1 year,kg/(m²*yr),WGS84,30 arc-seconds,global,2.1
{Karger 2017 #3511},Chelsa 2.1 bioclimatic variables 1981-2010,CHELSA_bio13_1981-2010_V.2.1,Precipitation amount of the wettest month,The precipitation of the wettest month,kg/(m²*month),WGS84,30 arc-seconds,global,2.1
{Karger 2017 #3511},Chelsa 2.1 bioclimatic variables 1981-2010,CHELSA_bio14_1981-2010_V.2.1,Precipitation amount of the driest month,The precipitation of the driest month,kg/(m²*month),WGS84,30 arc-seconds,global,2.1
{Karger 2017 #3511},Chelsa 2.1 bioclimatic variables 1981-2010,CHELSA_bio15_1981-2010_V.2.1,Precipitation seasonality,The Coefficient of Variation is the standard deviation of the monthly precipitation estimates expressed as a percentage of the mean of those estimates (i.e. the annual mean),kg/m²,WGS84,30 arc-seconds,global,2.1
{Karger 2017 #3511},Chelsa 2.1 bioclimatic variables 1981-2010,CHELSA_bio16_1981-2010_V.2.1,Mean monthly precipitation amount of the wettest quarter,The wettest quarter of the year is determined (to the nearest month),kg/(m²*month),WGS84,30 arc-seconds,global,2.1
{Karger 2017 #3511},Chelsa 2.1 bioclimatic variables 1981-2010,CHELSA_bio17_1981-2010_V.2.1,Mean monthly precipitation amount of the driest quarter,The driest quarter of the year is determined (to the nearest month),kg/(m²*month),WGS84,30 arc-seconds,global,2.1
{Karger 2017 #3511},Chelsa 2.1 bioclimatic variables 1981-2010,CHELSA_bio18_1981-2010_V.2.1,Mean monthly precipitation amount of the warmest quarter,The warmest quarter of the year is determined (to the nearest month),kg/(m²*month),WGS84,30 arc-seconds,global,2.1
{Karger 2017 #3511},Chelsa 2.1 bioclimatic variables 1981-2010,CHELSA_bio19_1981-2010_V.2.1,Mean monthly precipitation amount of the coldest quarter,The coldest quarter of the year is determined (to the nearest month),kg/(m²*month),WGS84,30 arc-seconds,global,2.1
{Karger 2017 #3511},Chelsa 2.1 bioclimatic variables 1981-2010,CHELSA_bio2_1981-2010_V.2.1,Mean diurnal air temperature range,mean diurnal range of temperatures averaged over 1 year,°C,WGS84,30 arc-seconds,global,2.1
{Karger 2017 #3511},Chelsa 2.1 bioclimatic variables 1981-2010,CHELSA_bio3_1981-2010_V.2.1,Isothermality,ratio of diurnal variation to annual variation in temperatures,°C,WGS84,30 arc-seconds,global,2.1
{Karger 2017 #3511},Chelsa 2.1 bioclimatic variables 1981-2010,CHELSA_bio4_1981-2010_V.2.1,Temperature seasonality,standard deviation of the monthly mean temperatures,°C/100,WGS84,30 arc-seconds,global,2.1
{Karger 2017 #3511},Chelsa 2.1 bioclimatic variables 1981-2010,CHELSA_bio5_1981-2010_V.2.1,Mean daily maximum air temperature of the warmest month,The highest temperature of any monthly daily mean maximum temperature,°C,WGS84,30 arc-seconds,global,2.1
{Karger 2017 #3511},Chelsa 2.1 bioclimatic variables 1981-2010,CHELSA_bio6_1981-2010_V.2.1,Mean daily minimum air temperature of the coldest month,The lowest temperature of any monthly daily mean maximum temperature,°C,WGS84,30 arc-seconds,global,2.1
{Karger 2017 #3511},Chelsa 2.1 bioclimatic variables 1981-2010,CHELSA_bio7_1981-2010_V.2.1,Annual range of air temperature,The difference between the Maximum Temperature of Warmest month and the Minimum Temperature of Coldest month,°C,WGS84,30 arc-seconds,global,2.1
{Karger 2017 #3511},Chelsa 2.1 bioclimatic variables 1981-2010,CHELSA_bio8_1981-2010_V.2.1,Mean daily mean air temperatures of the wettest quarter,The wettest quarter of the year is determined (to the nearest month),°C,WGS84,30 arc-seconds,global,2.1
{Karger 2017 #3511},Chelsa 2.1 bioclimatic variables 1981-2010,CHELSA_bio9_1981-2010_V.2.1,Mean daily mean air temperatures of the driest quarter,The driest quarter of the year is determined (to the nearest month),°C,WGS84,30 arc-seconds,global,2.1
{Brun 2022 #3841},Chelsa 2.1 bioclim+ 1981-2010,CHELSA_clt_mean_1981-2010_V.2.1,Mean monthly total cloud cover,Average monthly total cloud cover over 1 year,%,WGS84,30 arc-seconds,global,2.1
{Brun 2022 #3841},Chelsa 2.1 bioclim+ 1981-2010,CHELSA_clt_range_1981-2010_V.2.1,Annual range of monthly total cloud cover,Difference between maximum and minimum monthly total cloud cover,%,WGS84,30 arc-seconds,global,2.1
{Brun 2022 #3841},Chelsa 2.1 bioclim+ 1981-2010,CHELSA_cmi_mean_1981-2010_V.2.1,Mean monthly climate moisture index,Average monthly climate moisture index over 1 year,kg/(m²*month),WGS84,30 arc-seconds,global,2.1
{Brun 2022 #3841},Chelsa 2.1 bioclim+ 1981-2010,CHELSA_cmi_range_1981-2010_V.2.1,Annual range of monthly climate moisture index,Difference between maximum and minimum monthly climate moisture index,kg/(m²*month),WGS84,30 arc-seconds,global,2.1
{Brun 2022 #3841},Chelsa 2.1 bioclim+ 1981-2010,CHELSA_fcf_1981-2010_V.2.1,Frost change frequency,"Number of events in which tmin or tmax go above, or below 0°C",count,WGS84,30 arc-seconds,global,2.1
{Brun 2022 #3841},Chelsa 2.1 bioclim+ 1981-2010,CHELSA_fgd_1981-2010_V.2.1,First day of the growing season,First day of the growing season according to TREELIM (https://doi.org/10.1007/s00035-014-0124-0),julian day,WGS84,30 arc-seconds,global,2.1
