ref_ID,ref_long,geo_entity_ref,type,subset,taxon_ID,taxon_name,checklist,native_indicated,natural_indicated,end_ref,traits,restricted,proc_date
109,"Franklin, Keppel & Whistler (2008) The vegetation and flora of Lakeba, Nayau and Aiwa islands, central Lau Group, Fiji. Micronesica 40, 169–225.",Lau Islands,Checklist,all,2,Tracheophyta,1,1,0,0,0,0,9999-12-31
110,"Thaman, Fosberg, Manner & Hassall (1994) The flora of Nauru. Atoll Research Bulletin 392, 1–233.",Nauru,Flora,all,2,Tracheophyta,1,1,0,0,0,0,9999-12-31
112,"Takahashi, Barkalov, Gage, Joneson, Ilushko & Zhuravlev (2002) A floristic study of the vascular plants of Raikoke, Kuril Islands. Acta Phytotaxonomica et Geobotanica 53, 17–33.",Raikoke,Checklist,native,2,Tracheophyta,1,1,0,0,0,0,9999-12-31
113,"McClatchey, Thaman & Vodonaivalu (2000) A preliminary checklist of the flora of Rotuma with Rotuman names. Pacific Science 54, 345–363.",Rotuma,Checklist,all,2,Tracheophyta,1,1,0,0,0,0,9999-12-31
114,"Hill (ed.) (2002) Biodiversity surveys and conservation potential of inner Seychelles islands. Smithsonian Institution, Washington, DC.",Inner Seychelles,Checklist,all,2,Tracheophyta,1,1,0,1,0,0,9999-12-31
115,"Robinson, Canty, Wace & Barker (2003) The encounter 2002 expedition to the isles of St Francis, South Australia. Transactions of the Royal Society of South Australia 127, 107–128.",Isles of St Francis,Survey,native and naturalized,2,Tracheophyta,1,1,1,0,0,0,2012-04-10
116,"Edwards (1980) An experimental introduction of vascular plants from South Georgia to the maritime Antarctic. British Antarctic Survey Bulletin 49, 73-80.",Signy,Report,native,2,Tracheophyta,1,1,0,1,0,0,9999-12-31
117,"Lange, Heenan & Rolfe (unpublished) Checklist of vascular plants recorded from Chatham Islands. Department of Conservation, Wellington Hawke’s Bay Conservancy.",Chatham Islands,Checklist,all,2,Tracheophyta,1,1,0,1,0,0,9999-12-31
118,"Stalter & Lamont (2005) The Historical and Extant Flora of Great Gull Island, New York. Journal of the Torrey Botanical Society 132, 628-634.",Great Gull Island,Checklist,all,2,Tracheophyta,1,1,0,0,0,0,9999-12-31
122,"Searle & Madden (2006) Flora assessment of South Stradbroke Island. Gold Coast City Council, Gold Coast City;  Australia.",South Stradbroke Island,Checklist,all,2,Tracheophyta,1,1,0,0,0,0,9999-12-31
